,1. open,2. high,3. low,4. close,5. volume,BTC_USD_Close
2024-11-03,69360.95000000,69364.65000000,67444.00000000,68738.18000000,6758.88506466,68738.18
2024-11-04,68736.40000000,69453.94000000,66783.77000000,67807.48000000,12431.01371517,67807.48
2024-11-05,67810.15000000,70557.67000000,67427.53000000,69380.73000000,12867.66127618,69380.73
2024-11-06,69380.64000000,76509.56000000,69285.82000000,75646.55000000,45398.11837369,75646.55
2024-11-07,75646.55000000,76999.00000000,74463.96000000,75920.00000000,21932.40207681,75920.0
2024-11-08,75925.00000000,77312.18000000,75654.26000000,76566.73000000,18378.39876264,76566.73
2024-11-09,76566.72000000,76952.67000000,75758.58000000,76716.06000000,4836.57005338,76716.06
2024-11-10,76716.06000000,81534.28000000,76535.33000000,80428.92000000,16728.21105103,80428.92
2024-11-11,80427.69000000,89666.00000000,80277.34000000,88770.73000000,35560.11866694,88770.73
2024-11-12,88770.74000000,90100.00000000,85010.00000000,88035.43000000,40111.80924643,88035.43
2024-11-13,88035.43000000,93495.00000000,86220.50000000,90493.82000000,42318.69091680,90493.82
2024-11-14,90499.40000000,91831.25000000,86672.07000000,87340.40000000,23422.75915863,87340.4
2024-11-15,87338.96000000,91934.62000000,87100.83000000,91058.36000000,20388.33115227,91058.36
2024-11-16,91058.36000000,91820.73000000,90069.21000000,90636.24000000,6598.02693040,90636.24
2024-11-17,90638.54000000,91439.82000000,88713.64000000,89886.69000000,5574.55122824,89886.69
2024-11-18,89877.11000000,92674.80000000,89372.65000000,90520.30000000,17340.77166451,90520.3
2024-11-19,90521.32000000,94105.84000000,90403.24000000,92435.89000000,18267.16111244,92435.89
2024-11-20,92445.04000000,94989.99000000,91600.00000000,94393.15000000,20329.03998700,94393.15
2024-11-21,94384.15000000,99073.53000000,94127.20000000,98439.09000000,31188.09394751,98439.09
2024-11-22,98439.10000000,99860.00000000,97209.52000000,99024.03000000,29936.62215019,99024.03
2024-11-23,99024.03000000,99044.11000000,97215.01000000,97778.77000000,12072.47203722,97778.77
2024-11-24,97778.78000000,98700.00000000,95780.77000000,98028.18000000,8654.77135767,98028.18
2024-11-25,98032.06000000,98999.00000000,92534.93000000,93000.01000000,20695.91249500,93000.01
2024-11-26,93001.48000000,95004.92000000,90682.58000000,91929.54000000,17848.01962899,91929.54
2024-11-27,91929.53000000,97386.06000000,91747.46000000,95951.19000000,15213.90946356,95951.19
2024-11-28,95951.19000000,96676.31000000,94671.59000000,95665.53000000,5586.55288339,95665.53
2024-11-29,95665.53000000,98750.00000000,95383.46000000,97490.56000000,12587.02498942,97490.56
2024-11-30,97489.80000000,97509.60000000,96129.73000000,96465.42000000,3476.04255853,96465.42
2024-12-01,96464.95000000,97895.90000000,95753.42000000,97263.18000000,4039.27591451,97263.18
2024-12-02,97259.17000000,98200.00000000,94400.63000000,95862.89000000,15554.61486745,95862.89
2024-12-03,95862.89000000,96310.10000000,93571.30000000,95924.52000000,17898.70462120,95924.52
2024-12-04,95924.85000000,99263.20000000,94634.85000000,98746.24000000,17528.92050771,98746.24
2024-12-05,98746.24000000,104000.00000000,92055.86000000,97044.23000000,36399.81824270,97044.23
2024-12-06,97049.47000000,102104.12000000,96424.20000000,99891.35000000,17801.21293952,99891.35
2024-12-07,99885.37000000,100583.27000000,99012.73000000,99929.32000000,4774.35087770,99929.32
2024-12-08,99919.20000000,101435.05000000,98729.66000000,101174.99000000,4230.35225168,101174.99
2024-12-09,101175.00000000,101290.73000000,94220.80000000,97324.81000000,20103.05073464,97324.81
2024-12-10,97330.66000000,98338.17000000,94273.38000000,96660.76000000,20620.53877488,96660.76
2024-12-11,96660.75000000,101984.98000000,95722.79000000,101202.11000000,21190.23753294,101202.11
2024-12-12,101211.61000000,102595.00000000,99298.39000000,100030.47000000,14796.92456547,100030.47
2024-12-13,100024.75000000,101959.13000000,99220.81000000,101428.75000000,13327.59954074,101428.75
2024-12-14,101428.74000000,102650.00000000,100600.00000000,101399.99000000,4181.40180281,101399.99
2024-12-15,101400.00000000,105100.00000000,101221.34000000,104447.76000000,7796.33358128,104447.76
2024-12-16,104445.15000000,107857.79000000,103289.21000000,106099.81000000,22575.87902891,106099.81
2024-12-17,106099.98000000,108388.88000000,105337.97000000,106136.99000000,11994.58863972,106136.99
2024-12-18,106145.83000000,106528.13000000,99939.82000000,100150.73000000,22294.42835455,100150.73
2024-12-19,100148.60000000,102796.22000000,95539.67000000,97372.21000000,23522.12863874,97372.21
2024-12-20,97372.20000000,98132.47000000,92115.66000000,97765.00000000,21766.62386138,97765.0
2024-12-21,97762.75000000,99596.57000000,96368.00000000,97230.08000000,6451.43271418,97230.08
2024-12-22,97230.09000000,97387.98000000,94182.98000000,95087.75000000,4933.50127735,95087.75
2024-12-23,95091.15000000,96430.08000000,92360.91000000,94764.56000000,13476.98947566,94764.56
2024-12-24,94767.88000000,99444.00000000,93426.25000000,98594.47000000,13355.36314305,98594.47
2024-12-25,98594.47000000,99484.92000000,97557.48000000,99346.28000000,5254.23705980,99346.28
2024-12-26,99358.67000000,99887.00000000,95083.93000000,95669.49000000,11403.37268934,95669.49
2024-12-27,95669.40000000,97340.47000000,93234.31000000,94171.89000000,13169.12897588,94171.89
2024-12-28,94171.70000000,95534.17000000,94002.72000000,95130.82000000,2722.65913630,95130.82
2024-12-29,95125.59000000,95170.06000000,92841.48000000,93563.35000000,3417.52751094,93563.35
2024-12-30,93563.35000000,94910.48000000,91271.19000000,92620.71000000,15271.24432744,92620.71
2024-12-31,92620.70000000,96148.94000000,91887.13000000,93354.22000000,10348.63256550,93354.22
2025-01-01,93347.59000000,94960.91000000,92743.63000000,94383.59000000,6871.73848196,94383.59
2025-01-02,94383.59000000,97776.99000000,94177.00000000,96903.19000000,10912.47383962,96903.19
2025-01-03,96905.48000000,98969.92000000,96016.63000000,98136.51000000,9021.88538159,98136.51
2025-01-04,98139.85000000,98761.02000000,97516.65000000,98209.85000000,2742.08960614,98209.85
2025-01-05,98209.85000000,98814.00000000,97250.00000000,98345.33000000,2377.92175899,98345.33
2025-01-06,98347.65000000,102500.00000000,97900.00000000,102279.41000000,15173.44718169,102279.41
2025-01-07,102279.41000000,102735.99000000,96105.11000000,96941.98000000,16587.28692230,96941.98
2025-01-08,96941.98000000,97254.35000000,92500.00000000,95036.63000000,14182.29739458,95036.63
2025-01-09,95033.18000000,95363.26000000,91187.00000000,92547.44000000,9712.37853215,92547.44
2025-01-10,92547.44000000,95862.92000000,92209.25000000,94701.18000000,12634.03407823,94701.18
2025-01-11,94701.48000000,94983.65000000,93804.05000000,94565.02000000,2638.69956767,94565.02
2025-01-12,94569.91000000,95383.84000000,93670.30000000,94509.62000000,2025.81612971,94509.62
2025-01-13,94507.24000000,95900.00000000,89028.64000000,94506.45000000,13094.86359481,94506.45
2025-01-14,94507.35000000,97353.29000000,94311.36000000,96534.96000000,11210.73131611,96534.96
2025-01-15,96534.97000000,100716.45000000,96400.00000000,100510.23000000,13600.98371987,100510.23
2025-01-16,100504.27000000,100880.00000000,97277.58000000,99981.78000000,12312.37366854,99981.78
2025-01-17,99981.46000000,105970.00000000,99937.81000000,104107.00000000,20518.30949325,104107.0
2025-01-18,104107.00000000,104933.15000000,102233.45000000,104435.00000000,7835.29944710,104435.0
2025-01-19,104435.01000000,106314.44000000,99518.00000000,101211.13000000,13312.63685598,101211.13
2025-01-20,101217.78000000,109358.01000000,99416.27000000,102145.43000000,32342.18311338,102145.43
2025-01-21,102145.42000000,107291.10000000,100051.00000000,106159.26000000,19411.23488978,106159.26
2025-01-22,106159.27000000,106431.34000000,103100.00000000,103667.11000000,10730.01896200,103667.11
2025-01-23,103659.60000000,106870.87000000,101200.01000000,103926.36000000,25064.86499945,103926.36
2025-01-24,103926.36000000,107200.00000000,102751.92000000,104850.27000000,12921.99361413,104850.27
2025-01-25,104866.13000000,105294.00000000,104104.00000000,104733.56000000,3404.85308291,104733.56
2025-01-26,104729.92000000,105478.80000000,102452.24000000,102563.00000000,4575.36611531,102563.0
2025-01-27,102565.28000000,103228.46000000,97715.03000000,102062.42000000,23646.33771582,102062.42
